Measurement	Count	Measurement_type	source_file
CDS_Exons	57294984	Tag count	TARGET-10-DCC001-03A-01R
5'UTR_Exons	3511702	Tag count	TARGET-10-DCC001-03A-01R
3'UTR_Exons	26538238	Tag count	TARGET-10-DCC001-03A-01R
Introns	76817116	Tag count	TARGET-10-DCC001-03A-01R
TSS_up_1kb	366918	Tag count	TARGET-10-DCC001-03A-01R
TSS_up_5kb	1558226	Tag count	TARGET-10-DCC001-03A-01R
TSS_up_10kb	2714314	Tag count	TARGET-10-DCC001-03A-01R
TES_down_1kb	876629	Tag count	TARGET-10-DCC001-03A-01R
TES_down_5kb	2885862	Tag count	TARGET-10-DCC001-03A-01R
TES_down_10kb	4323618	Tag count	TARGET-10-DCC001-03A-01R
CDS_Exons	22139947	Tag count	TARGET-10-DCC002-09A-01R
5'UTR_Exons	1389195	Tag count	TARGET-10-DCC002-09A-01R
3'UTR_Exons	12191193	Tag count	TARGET-10-DCC002-09A-01R
Introns	14979351	Tag count	TARGET-10-DCC002-09A-01R
TSS_up_1kb	121365	Tag count	TARGET-10-DCC002-09A-01R
TSS_up_5kb	455032	Tag count	TARGET-10-DCC002-09A-01R
TSS_up_10kb	764887	Tag count	TARGET-10-DCC002-09A-01R
TES_down_1kb	291249	Tag count	TARGET-10-DCC002-09A-01R
TES_down_5kb	901806	Tag count	TARGET-10-DCC002-09A-01R
TES_down_10kb	1282241	Tag count	TARGET-10-DCC002-09A-01R
CDS_Exons	23620778	Tag count	TARGET-10-PAKHZT-03A-01R
5'UTR_Exons	1903649	Tag count	TARGET-10-PAKHZT-03A-01R
3'UTR_Exons	13732752	Tag count	TARGET-10-PAKHZT-03A-01R
Introns	39507886	Tag count	TARGET-10-PAKHZT-03A-01R
TSS_up_1kb	126040	Tag count	TARGET-10-PAKHZT-03A-01R
TSS_up_5kb	433120	Tag count	TARGET-10-PAKHZT-03A-01R
TSS_up_10kb	734367	Tag count	TARGET-10-PAKHZT-03A-01R
TES_down_1kb	278497	Tag count	TARGET-10-PAKHZT-03A-01R
TES_down_5kb	829940	Tag count	TARGET-10-PAKHZT-03A-01R
TES_down_10kb	1236186	Tag count	TARGET-10-PAKHZT-03A-01R
CDS_Exons	30180894	Tag count	TARGET-10-PAKKCA-03A-01R
5'UTR_Exons	2414542	Tag count	TARGET-10-PAKKCA-03A-01R
3'UTR_Exons	13492577	Tag count	TARGET-10-PAKKCA-03A-01R
Introns	75536582	Tag count	TARGET-10-PAKKCA-03A-01R
TSS_up_1kb	223672	Tag count	TARGET-10-PAKKCA-03A-01R
TSS_up_5kb	795020	Tag count	TARGET-10-PAKKCA-03A-01R
TSS_up_10kb	1356510	Tag count	TARGET-10-PAKKCA-03A-01R
TES_down_1kb	495327	Tag count	TARGET-10-PAKKCA-03A-01R
TES_down_5kb	1715981	Tag count	TARGET-10-PAKKCA-03A-01R
TES_down_10kb	2573653	Tag count	TARGET-10-PAKKCA-03A-01R
CDS_Exons	32238377	Tag count	TARGET-10-PAKKXB-03A-01R
5'UTR_Exons	2765743	Tag count	TARGET-10-PAKKXB-03A-01R
3'UTR_Exons	15258638	Tag count	TARGET-10-PAKKXB-03A-01R
Introns	83052159	Tag count	TARGET-10-PAKKXB-03A-01R
TSS_up_1kb	211078	Tag count	TARGET-10-PAKKXB-03A-01R
TSS_up_5kb	764489	Tag count	TARGET-10-PAKKXB-03A-01R
TSS_up_10kb	1284873	Tag count	TARGET-10-PAKKXB-03A-01R
TES_down_1kb	465437	Tag count	TARGET-10-PAKKXB-03A-01R
TES_down_5kb	1567672	Tag count	TARGET-10-PAKKXB-03A-01R
TES_down_10kb	2343735	Tag count	TARGET-10-PAKKXB-03A-01R
CDS_Exons	23476085	Tag count	TARGET-10-PAKSWW-04A-01R
5'UTR_Exons	1630708	Tag count	TARGET-10-PAKSWW-04A-01R
3'UTR_Exons	11731453	Tag count	TARGET-10-PAKSWW-04A-01R
Introns	13940441	Tag count	TARGET-10-PAKSWW-04A-01R
TSS_up_1kb	75180	Tag count	TARGET-10-PAKSWW-04A-01R
TSS_up_5kb	227785	Tag count	TARGET-10-PAKSWW-04A-01R
TSS_up_10kb	403822	Tag count	TARGET-10-PAKSWW-04A-01R
TES_down_1kb	152950	Tag count	TARGET-10-PAKSWW-04A-01R
TES_down_5kb	469148	Tag count	TARGET-10-PAKSWW-04A-01R
